Experiment Name,Mean Accuracy,95% CI Margin,CI Lower,CI Upper
Stats (min+max+mean) Epoch (30),0.6166,0.0086,0.608,0.6252000000000001
Stats (min+max+mean) Epoch (130),0.6162,0.0092,0.607,0.6254
Stats (min+max+mean) Epoch (110),0.6156,0.0084,0.6072000000000001,0.624
Stats (min+max+mean) Epoch (70),0.6144,0.0073,0.6071,0.6216999999999999
Stats (min+max+mean) Epoch (120),0.6138,0.0075,0.6063000000000001,0.6213
Stats (min+max+mean) Epoch (140),0.6138,0.009,0.6048,0.6228
Stats (min+max+mean) Epoch (100),0.6126,0.0087,0.6039,0.6213000000000001
Stats (min+max+mean) Epoch (60),0.6116,0.0091,0.6025,0.6207
Stats (min+max+mean) Epoch (20),0.611,0.0084,0.6026,0.6194
Stats (min+max+mean) Epoch (40),0.611,0.0113,0.5997,0.6223
Stats (min+max+mean) Epoch (90),0.6082,0.0072,0.601,0.6154
Stats (min+max+mean) Epoch (50),0.6078,0.0094,0.5984,0.6172
Stats (min+max+mean) Epoch (80),0.6076,0.0093,0.5983,0.6169
Stats (min+mean) Epoch (140),0.6048,0.01,0.5948,0.6148
Stats (min+mean) Epoch (60),0.6018,0.0093,0.5925,0.6111
Stats (min+max) Epoch (70),0.6016,0.0111,0.5905,0.6127
Stats (min+mean) Epoch (40),0.5998,0.0078,0.592,0.6076
Stats (min+mean) Epoch (30),0.599,0.0086,0.5903999999999999,0.6076
Stats (min+max) Epoch (60),0.599,0.0118,0.5871999999999999,0.6108
Stats (min+mean) Epoch (120),0.5988,0.0109,0.5879,0.6097
Stats (min+mean) Epoch (20),0.598,0.0087,0.5892999999999999,0.6067
Stats (max) Epoch (110),0.598,0.0096,0.5883999999999999,0.6076
Stats (min+max) Epoch (50),0.5978,0.012,0.5858,0.6098
Stats (min+max) Epoch (80),0.5956,0.0106,0.585,0.6062000000000001
Stats (min+mean) Epoch (130),0.5954,0.009,0.5864,0.6044
Stats (min+mean) Epoch (100),0.595,0.0068,0.5882,0.6018
Stats (min+max) Epoch (130),0.595,0.0102,0.5848,0.6052
Stats (max) Epoch (40),0.5948,0.0093,0.5855,0.6041
Stats (min+max) Epoch (100),0.5946,0.0113,0.5833,0.6059
Stats (max) Epoch (80),0.5942,0.0091,0.5851,0.6033
Stats (min+mean) Epoch (50),0.5936,0.0082,0.5854,0.6018
Stats (min+mean) Epoch (80),0.5936,0.0084,0.5852,0.602
Stats (min+mean) Epoch (110),0.5932,0.0092,0.584,0.6023999999999999
Stats (min+mean) Epoch (90),0.5924,0.0095,0.5829000000000001,0.6019
Stats (max) Epoch (130),0.5924,0.0103,0.5821000000000001,0.6027
Stats (min+max) Epoch (120),0.5916,0.0104,0.5812,0.602
Stats (min+max) Epoch (110),0.591,0.0118,0.5791999999999999,0.6028
Stats (min+mean) Epoch (70),0.591,0.0088,0.5821999999999999,0.5998
Stats (max) Epoch (60),0.5908,0.0112,0.5796,0.602
Stats (max) Epoch (20),0.5892,0.0114,0.5778,0.6005999999999999
Stats (max) Epoch (90),0.5892,0.0122,0.577,0.6013999999999999
Stats (min+max) Epoch (30),0.5886,0.0094,0.5792,0.598
Stats (min+max) Epoch (140),0.5886,0.0122,0.5764,0.6008
Stats (min+max) Epoch (20),0.5878,0.0108,0.577,0.5986
Stats (min+max) Epoch (40),0.5878,0.0104,0.5774,0.5982
Stats (max) Epoch (30),0.5872,0.0109,0.5763,0.5981000000000001
Stats (min+max) Epoch (90),0.5862,0.012,0.5742,0.5982000000000001
Stats (max) Epoch (50),0.5852,0.0105,0.5747000000000001,0.5957
Stats (max) Epoch (140),0.585,0.0094,0.5756,0.5943999999999999
Stats (max) Epoch (70),0.5848,0.0109,0.5739,0.5957
Stats (max) Epoch (120),0.5828,0.0101,0.5727,0.5929
Threshold Activations Epoch (110),0.5804,0.0099,0.5705,0.5903
Threshold Activations Epoch (30),0.5802,0.0101,0.5701,0.5903
Stats (max) Epoch (100),0.5796,0.0104,0.5692,0.59
Threshold Activations Epoch (80),0.5776,0.0077,0.5699,0.5853
Threshold Activations Epoch (40),0.5772,0.0098,0.5674,0.5870000000000001
Threshold Activations Epoch (60),0.577,0.0076,0.5693999999999999,0.5846
Threshold Activations Epoch (120),0.5766,0.0104,0.5662,0.587
Stats (max+mean) Epoch (70),0.5766,0.0084,0.5682,0.585
Stats (max+mean) Epoch (100),0.5754,0.009,0.5664,0.5844
Threshold Activations Epoch (70),0.5752,0.0098,0.5654,0.5850000000000001
Stats (max+mean) Epoch (80),0.574,0.0094,0.5646,0.5833999999999999
Stats (max+mean) Epoch (130),0.5738,0.0105,0.5633,0.5842999999999999
Threshold Activations Epoch (20),0.573,0.0087,0.5642999999999999,0.5817
Stats (min) Epoch (90),0.5726,0.0112,0.5614,0.5838
Threshold Activations Epoch (50),0.572,0.008,0.564,0.58
Stats (min) Epoch (140),0.5716,0.0112,0.5604,0.5828
Stats (max+mean) Epoch (30),0.5714,0.009,0.5624,0.5804
Stats (max+mean) Epoch (20),0.5706,0.0084,0.5622,0.579
Threshold Activations Epoch (90),0.5706,0.0111,0.5595,0.5817
Stats (max+mean) Epoch (120),0.5698,0.01,0.5598,0.5798
Stats (max+mean) Epoch (60),0.5696,0.0096,0.5599999999999999,0.5792
Stats (min) Epoch (30),0.5694,0.0099,0.5595,0.5793
Stats (max+mean) Epoch (90),0.5692,0.0091,0.5601,0.5783
Threshold Activations Epoch (140),0.5684,0.0087,0.5597,0.5771000000000001
Stats (max+mean) Epoch (140),0.5682,0.0086,0.5596,0.5768000000000001
Stats (max+mean) Epoch (40),0.568,0.0102,0.5578,0.5781999999999999
Stats (min) Epoch (100),0.5676,0.01,0.5576,0.5776
Threshold Activations Epoch (130),0.566,0.0086,0.5573999999999999,0.5746
Stats (min) Epoch (120),0.566,0.0111,0.5549,0.5771
Threshold Activations Epoch (100),0.5658,0.0089,0.5569,0.5747
Stats (min) Epoch (80),0.5652,0.0102,0.555,0.5754
Stats (max+mean) Epoch (50),0.565,0.0091,0.5559,0.5740999999999999
Stats (max+mean) Epoch (110),0.565,0.0097,0.5552999999999999,0.5747
