Problem,Traj Distance,Avg Step Dist,Max Step Dist,Final Ans Unc,Avg Quality,Correctness
1,0.0389,0.1446,0.4108,0.0627,4.90,5/5
2,0.0107,0.0727,0.1777,0.0844,5.00,5/5
3,0.0575,0.1196,0.3250,0.1915,4.60,4/5
4,0.0198,0.0963,0.3098,0.0223,5.00,5/5
5,0.0231,0.0658,0.2216,0.1086,5.00,5/5
6,0.0299,0.0974,0.3729,0.2327,4.50,5/5
7,0.0356,0.0983,0.5423,0.2436,4.84,5/5
8,0.0717,0.1928,0.3672,0.2092,4.70,2/5
9,0.0398,0.1443,0.3573,0.1686,5.00,5/5
10,0.0316,0.0840,0.2248,0.1489,4.90,5/5
11,0.0424,0.0903,0.4520,0.0259,5.00,5/5
12,0.0152,0.0593,0.4572,0.2766,4.80,5/5
13,0.0543,0.2336,0.4997,0.2204,4.70,4/5
14,0.0143,0.1146,0.4951,0.1826,5.00,5/5
15,0.0087,0.0218,0.1311,0.0242,5.00,5/5
16,0.1077,0.1740,0.4305,0.1976,5.00,5/5
17,0.0185,0.0495,0.1566,0.0236,5.00,5/5
18,0.0180,0.0509,0.2039,0.0144,4.96,5/5
19,0.0326,0.1309,0.4901,0.1312,5.00,5/5
20,0.0247,0.1574,0.3745,0.1790,5.00,5/5
